Order Number,Purchased on,Total Purchased,Subtotal Purchased,Tax,Shipping,Discount,Vendor Amount,Vendor Subtotal,Vendor Shipping,Vendor Name,Payment Method,payment_method,gross_amount,psp_fees,settlement_amount,currency_code,conversion_rate,margin_profit
CEFE000002466,2025-08-27 13:51:56,206.1067518,176.8017968,0.0,29.304955,0.0,158.03,129.04,28.99,AllPoints,stripe_payments,stripe_payments,206.11,9.37,196.74,USD,0.714755,29.340000000000025
CEFE000002465,2025-08-27 04:32:25,72.73038216,43.40361516,0.0,29.326767,0.0,55.93,26.94,28.99,AllPoints,stripe_payments,stripe_payments,72.73,3.5,69.23,USD,0.715287,9.800000000000008
CEFE000002464,2025-08-27 00:58:51,397.1837891,367.8449271,0.0,29.338862000000002,0.0,306.57,277.58,28.99,AllPoints,stripe_payments,stripe_payments,397.18,17.78,379.4,USD,0.715582,55.05
CEFE000002463,2025-08-27 00:30:19,108.33195898,78.99309698,0.0,29.338862000000002,0.0,86.58,57.59,28.99,AllPoints,stripe_payments,stripe_payments,108.33,5.07,103.26,USD,0.715582,11.610000000000003
CEFE000002462,2025-08-26 22:19:47,269.42943160000004,240.0969656,0.0,29.332466,0.0,204.07,175.08,28.99,AllPoints,stripe_payments,stripe_payments,269.43,12.15,257.28,USD,0.715426,41.05999999999997
CEFE000002457,2025-08-26 18:17:53,214.30009563,184.97037662999998,0.0,29.329718999999997,0.0,163.88,134.89,28.99,AllPoints,stripe_payments,stripe_payments,214.3,9.73,204.57,USD,0.715359,30.96000000000001
CEFE000002456,2025-08-26 18:14:19,304.68570528,275.35598628,0.0,29.329718999999997,0.0,229.79,200.8,28.99,AllPoints,stripe_payments,stripe_payments,304.69,13.71,290.98,USD,0.715359,47.48000000000001
CEFE000002455,2025-08-26 15:01:18,85.24276816,55.93252415999999,0.0,29.310243999999997,0.0,63.73,34.74,28.99,AllPoints,stripe_payments,stripe_payments,85.24,4.05,81.19,USD,0.714884,13.409999999999997
CEFE000002454,2025-08-26 12:15:14,104.365926,75.047646,0.0,29.31828,0.0,83.74,54.75,28.99,AllPoints,stripe_payments,stripe_payments,104.37,4.89,99.48,USD,0.71508,10.850000000000005
CEFE000002453,2025-08-25 19:26:08,74.13240791000001,44.83106091,0.0,29.301347000000003,0.0,56.84,27.85,28.99,AllPoints,stripe_payments,stripe_payments,74.13,3.56,70.57,USD,0.714667,10.169999999999993
CEFE000002452,2025-08-25 18:59:22,188.3063674,158.9840694,0.0,29.322298,0.0,144.96,115.97,28.99,AllPoints,stripe_payments,stripe_payments,188.31,8.59,179.72,USD,0.715178,26.170000000000005
CEFE000002450,2025-08-25 18:03:18,192.20918157,162.86863857,0.0,29.340543,0.0,147.72,118.73,28.99,AllPoints,stripe_payments,stripe_payments,192.21,8.76,183.45,USD,0.715623,26.96999999999999
CEFE000002449,2025-08-25 14:55:09,58.42361522999999,29.05781623,0.0,29.365799,0.0,47.0,18.01,28.99,AllPoints,stripe_payments,stripe_payments,58.42,2.87,55.55,USD,0.716239,5.6799999999999935
CEFE000002446,2025-08-23 20:13:00,200.17405519999997,170.8125202,0.0,29.361535,0.0,153.42,124.43,0.0,AllPoints,stripe_payments,stripe_payments,200.17,9.11,191.06,USD,0.716135,57.519999999999996
CEFE000002445,2025-08-23 17:07:25,42.6687128,13.316074800000003,0.0,29.352638000000002,0.0,34.77,5.78,28.99,AllPoints,stripe_payments,stripe_payments,42.67,2.18,40.49,USD,0.715918,3.5400000000000023
CEFE000002444,2025-08-22 20:42:09,232.10709959999997,202.75364159999998,0.0,29.353458,0.0,151.49,122.5,28.99,AllPoints,stripe_payments,stripe_payments,232.11,10.51,221.6,USD,0.715938,59.6
CEFE000002443,2025-08-22 19:00:32,106.60912091,81.29832028,0.0,29.372851,-4.06205037,88.19,59.2,28.99,AllPoints,stripe_payments,stripe_payments,106.61,4.99,101.62,USD,0.716411,8.440000000000003
CEFE000002442,2025-08-22 18:35:49,143.90547757000002,114.53262657,0.0,29.372851,0.0,112.39,83.4,28.99,AllPoints,stripe_payments,stripe_payments,143.91,6.63,137.28,USD,0.716411,18.259999999999998
CEFE000002441,2025-08-22 14:15:23,101.54790043999999,72.38382144,0.0,29.164079,0.0,74.17,45.18,28.99,AllPoints,stripe_payments,stripe_payments,101.55,4.77,96.78,USD,0.711319,17.840000000000003
CEFE000002440,2025-08-22 07:44:42,147.56729964,118.39817764,0.0,29.169122,0.0,115.81,86.82,28.99,AllPoints,stripe_payments,stripe_payments,147.57,6.79,140.78,USD,0.711442,18.18000000000001
CEFE000002439,2025-08-22 03:25:45,133.94352684999998,104.76813184999999,0.0,29.175394999999998,0.0,124.47,95.48,28.99,AllPoints,stripe_payments,stripe_payments,133.94,6.19,127.75,USD,0.711595,-2.910000000000003
CEFE000002438,2025-08-22 02:11:42,343.38487039999995,314.20968039999997,0.0,29.175189999999997,0.0,259.35,230.36,28.99,AllPoints,stripe_payments,stripe_payments,343.38,15.41,327.97,USD,0.71159,53.21000000000002
CEFE000002436,2025-08-21 22:37:05,607.8484515600001,609.12240888,0.0,29.180028,-30.45398532,489.26,460.27,28.99,AllPoints,stripe_payments,stripe_payments,607.85,27.05,580.8,USD,0.711708,64.48999999999998
FE001016689,2025-08-21 21:24:40,420.56,378.57,0.0,41.99,0.0,394.15,369.2,24.95,Encompass,stripe_payments,stripe_payments,420.56,12.5,408.06,USD,1.0,1.4100000000000144
FE001016688,2025-08-21 20:31:28,168.98,144.87,14.12,9.99,0.0,133.72,122.77,10.95,Encompass,stripe_payments,stripe_payments,168.98,5.2,163.78,USD,1.0,24.860000000000007
FE001016687,2025-08-21 20:28:23,318.4,292.89,15.52,9.99,0.0,284.38,256.92,27.46,AllPoints,stripe_payments,stripe_payments,318.4,9.53,308.87,USD,1.0,14.959999999999988
CEFE000002433,2025-08-21 19:45:47,107.84084981999999,78.63499182000001,0.0,29.205858000000003,0.0,86.58,57.59,28.99,AllPoints,stripe_payments,stripe_payments,107.84,5.04,102.8,USD,0.712338,11.179999999999996
CEFE000002432,2025-08-21 19:23:14,737.15585592,745.2123987000001,0.0,29.205858000000003,-37.26240078,563.42,534.43,28.99,AllPoints,stripe_payments,stripe_payments,737.16,32.74,704.42,USD,0.712338,108.25999999999999
CEFE000002431,2025-08-21 18:14:54,53.02246392,25.06490568,0.0,29.211516,-1.25395776,44.61,15.62,28.99,AllPoints,stripe_payments,stripe_payments,53.02,2.63,50.39,USD,0.712476,3.150000000000005
FE001016686,2025-08-21 17:52:28,443.03,400.96,32.08,9.99,0.0,362.67,351.72,10.95,Encompass,stripe_payments,stripe_payments,443.03,13.15,429.88,Refunded,1.0,54.05999999999997
FE001016685,2025-08-21 17:33:17,82.92,66.3,6.63,9.99,0.0,81.18,56.19,24.99,AllPoints,stripe_payments,stripe_payments,82.92,2.7,80.22,USD,1.0,-3.6599999999999975
FE001016684,2025-08-21 16:14:27,148.58,128.32,10.27,9.99,0.0,124.36,108.74,15.62,AllPoints,stripe_payments,stripe_payments,148.58,4.61,143.97,USD,1.0,15.000000000000007
FE001016683,2025-08-21 15:56:49,165.91,155.92,0.0,9.99,0.0,152.23,129.04,23.19,AllPoints,stripe_payments,stripe_payments,165.91,5.11,160.8,USD,1.0,3.4600000000000177
FE001016682,2025-08-21 15:32:00,248.82,238.83,0.0,9.99,0.0,229.4,208.04,21.36,AllPoints,stripe_payments,stripe_payments,248.82,7.52,241.3,USD,1.0,4.38000000000002
CEFE000002430,2025-08-21 14:51:20,89.5280652,60.3263892,0.0,29.201676,0.0,66.59,37.6,28.99,AllPoints,stripe_payments,stripe_payments,89.53,4.24,85.29,USD,0.712236,14.460000000000006
CEFE000002429,2025-08-21 14:36:14,156.54235043999998,127.34067443999999,0.0,29.201676,0.0,122.26,93.27,28.99,AllPoints,stripe_payments,stripe_payments,156.54,7.19,149.35,USD,0.712236,19.9
CEFE000002428,2025-08-21 14:18:11,64.57843812,35.37676212,0.0,29.201676,0.0,51.04,22.05,28.99,AllPoints,stripe_payments,stripe_payments,64.58,3.14,61.44,USD,0.712236,7.260000000000002
FE001016681,2025-08-21 14:08:40,109.05,91.72,7.34,9.99,0.0,91.36,77.73,13.63,AllPoints,stripe_payments,stripe_payments,109.05,3.46,105.59,USD,1.0,10.77
FE001016680,2025-08-21 13:47:24,42.64,30.8,1.85,9.99,0.0,36.04,22.0,14.04,AllPoints,stripe_payments,stripe_payments,42.64,1.54,41.1,USD,1.0,3.5200000000000022
CEFE000002427,2025-08-21 10:20:32,202.58351344,173.33936144,0.0,29.244152,0.0,155.77,126.78,28.99,AllPoints,stripe_payments,stripe_payments,202.58,9.21,193.37,USD,0.713272,28.390000000000008
FE001016679,2025-08-21 06:04:01,475.91,422.6,43.32,9.99,0.0,380.05,360.54,19.51,AllPoints,paypal_express,paypal_express,475.91,16.15,459.76,USD,1.0,63.55999999999997
FE001016678,2025-08-21 00:58:20,272.97,245.2,17.78,9.99,0.0,241.45,216.87,24.58,AllPoints,stripe_payments,stripe_payments,272.97,8.22,264.75,USD,1.0,15.079999999999997
CEFE000002426,2025-08-20 23:42:23,269.63846328,240.37725527999999,0.0,29.261208,0.0,197.2,168.21,28.99,AllPoints,stripe_payments,stripe_payments,269.64,12.16,257.48,USD,0.713688,48.12000000000002
CEFE000002425,2025-08-20 20:48:35,127.62211487999998,98.37062387999998,0.0,29.251490999999998,0.0,90.21,61.22,28.99,AllPoints,stripe_payments,stripe_payments,127.62,5.92,121.7,USD,0.713451,25.570000000000007
FE001016677,2025-08-20 20:19:14,262.95,234.22,18.74,9.99,0.0,228.49,198.5,29.99,AllPoints,paypal_express,paypal_express,262.95,9.14,253.81,USD,1.0,16.180000000000003
FE001016676,2025-08-20 19:17:52,204.89,148.43,14.47,41.99,0.0,158.74,125.79,32.95,Encompass,stripe_payments,stripe_payments,204.89,6.24,198.65,USD,1.0,33.669999999999995
CEFE000002423,2025-08-20 18:56:10,211.62297064,182.34593664000002,0.0,29.277034,0.0,142.36,113.37,28.99,AllPoints,stripe_payments,stripe_payments,211.62,9.61,202.01,USD,0.714074,50.03999999999999
FE001016675,2025-08-20 18:49:24,204.55,178.09,16.47,9.99,0.0,180.91,150.92,29.99,AllPoints,stripe_payments,stripe_payments,204.55,6.23,198.32,USD,1.0,11.180000000000007
FE001016674,2025-08-20 18:47:44,598.18,544.62,43.57,9.99,0.0,512.73,477.74,34.99,AllPoints,stripe_payments,stripe_payments,598.18,17.65,580.53,USD,1.0,50.149999999999956
FE001016673,2025-08-20 18:41:36,153.58,130.54,13.05,9.99,0.0,134.65,110.63,24.02,AllPoints,stripe_payments,stripe_payments,153.58,4.75,148.83,USD,1.0,9.430000000000017
CEFE000002422,2025-08-20 18:33:19,309.97238266,280.69534866,0.0,29.277034,0.0,241.25,212.26,28.99,AllPoints,stripe_payments,stripe_payments,309.97,13.94,296.03,USD,0.714074,40.83999999999999
FE001016672,2025-08-20 18:03:34,261.47,232.45,19.03,9.99,0.0,229.56,203.9,25.66,AllPoints,stripe_payments,stripe_payments,261.47,7.88,253.59,Refunded,1.0,16.15
CEFE000002421,2025-08-20 17:56:25,514.24090497,510.50050389,0.0,29.266497,-25.52609592,415.17,386.18,28.99,AllPoints,stripe_payments,stripe_payments,514.24,22.93,491.31,USD,0.713817,53.21
CEFE000002420,2025-08-20 16:59:46,287.26787154,258.01379754,0.0,29.254074,0.0,209.18,180.19,28.99,AllPoints,stripe_payments,stripe_payments,287.27,12.94,274.33,USD,0.713514,52.209999999999994
CEFE000002419,2025-08-20 16:49:28,104.52266586,75.26859186,0.0,29.254074,0.0,86.41,57.42,28.99,AllPoints,stripe_payments,stripe_payments,104.52,4.9,99.62,USD,0.713514,8.310000000000004
CEFE000002418,2025-08-20 16:35:53,172.94152332,143.68744931999998,0.0,29.254074,0.0,134.05,105.06,28.99,AllPoints,stripe_payments,stripe_payments,172.94,7.91,165.03,USD,0.713514,23.07
CEFE000002416,2025-08-20 15:05:46,117.52496712,88.24371011999999,0.0,29.281256999999997,0.0,56.42,27.43,28.99,AllPoints,stripe_payments,stripe_payments,117.52,5.47,112.05,USD,0.714177,50.16000000000001
CEFE000002415,2025-08-20 14:48:48,664.1955391600001,634.92859116,0.0,29.266948,0.0,509.29,480.3,28.99,AllPoints,stripe_payments,stripe_payments,664.2,29.52,634.68,USD,0.713828,95.86999999999995
CEFE000002414,2025-08-20 14:42:12,121.58632324000001,92.31937524000001,0.0,29.266948,0.0,96.46,67.47,28.99,AllPoints,stripe_payments,stripe_payments,121.59,5.65,115.94,USD,0.713828,13.83
FE001016670,2025-08-20 14:08:56,183.64,162.29,11.36,9.99,0.0,167.52,137.53,29.99,AllPoints,paypal_express,paypal_express,183.64,6.53,177.11,USD,1.0,3.060000000000014
FE001016669,2025-08-20 13:29:37,177.87,155.44,12.44,9.99,0.0,161.72,131.73,29.99,AllPoints,stripe_payments,stripe_payments,177.87,5.46,172.41,Refunded,1.0,5.230000000000008
FE001016668,2025-08-20 06:02:53,287.46,259.32,18.15,9.99,0.0,249.75,219.76,29.99,AllPoints,paypal_express,paypal_express,287.46,9.95,277.51,USD,1.0,17.810000000000002
FE001016667,2025-08-20 01:57:46,392.09,359.62,22.48,9.99,0.0,326.41,315.46,10.95,Encompass,stripe_payments,stripe_payments,392.09,11.67,380.42,USD,1.0,42.34000000000003
CEFE000002413,2025-08-19 23:50:43,457.8814014800001,428.60920548000007,0.0,29.272196,0.0,335.39,306.4,28.99,AllPoints,stripe_payments,stripe_payments,457.88,20.45,437.43,USD,0.713956,81.59000000000003
CEFE000002412,2025-08-19 23:31:17,279.49235532000006,250.22015932000002,0.0,29.272196,0.0,199.08,170.09,28.99,AllPoints,stripe_payments,stripe_payments,279.49,12.6,266.89,USD,0.713956,55.20999999999999
FE001016666,2025-08-19 23:06:00,133.39,115.33,8.07,9.99,0.0,108.69,97.74,10.95,Encompass,stripe_payments,stripe_payments,133.39,4.17,129.22,USD,1.0,16.360000000000007
FE001016664,2025-08-19 21:55:58,106.15,89.04,7.12,9.99,0.0,88.59,63.6,24.99,AllPoints,stripe_payments,stripe_payments,106.15,3.38,102.77,USD,1.0,10.799999999999997
CEFE000002411,2025-08-19 21:35:53,62.0338257,32.765852699999996,0.0,29.267972999999998,0.0,49.37,20.38,28.99,AllPoints,stripe_payments,stripe_payments,62.03,3.03,59.0,USD,0.713853,6.600000000000007
FE001016663,2025-08-19 19:26:57,190.17,165.68,14.5,9.99,0.0,170.36,140.4,29.96,AllPoints,paypal_express,paypal_express,190.17,6.75,183.42,USD,1.0,6.309999999999981
FE001016662,2025-08-19 18:42:24,413.92,374.01,29.92,9.99,0.0,363.07,328.08,34.99,AllPoints,stripe_payments,stripe_payments,413.92,12.3,401.62,USD,1.0,26.250000000000018
HnC010012232,2025-08-19 17:50:55,652.8,586.06,41.02,25.72,0.0,433.14,412.14,21.0,Neuco,stripe_payments,stripe_payments,652.8,19.23,633.57,Refunded,1.0,181.20000000000007
HnC010012230,2025-08-19 17:02:05,562.9,490.75,39.26,32.89,0.0,441.43,430.48,10.95,Encompass,stripe_payments,stripe_payments,562.9,16.62,546.28,USD,1.0,88.22999999999995
FE001016661,2025-08-19 16:16:11,366.03,351.91,21.73,9.99,-17.6,343.68,308.69,34.99,AllPoints,stripe_payments,stripe_payments,366.03,10.91,355.12,USD,1.0,0.5300000000000047
HnC010012229,2025-08-19 16:15:47,4260.67,4077.2,387.33,0.0,-203.86,3640.35,3640.35,0.0,Neuco,stripe_payments,stripe_payments,4260.67,123.86,4136.81,USD,1.0,372.6000000000005
FE001016660,2025-08-19 16:09:01,494.53,452.84,31.7,9.99,0.0,432.22,397.23,34.99,AllPoints,stripe_payments,stripe_payments,494.53,14.64,479.89,USD,1.0,33.029999999999966
CEFE000002410,2025-08-19 15:50:28,101.77808051999999,72.48222752,0.0,29.295852999999997,0.0,81.91,52.92,28.99,AllPoints,stripe_payments,stripe_payments,101.78,4.78,97.0,USD,0.714533,10.309999999999999
HnC010012227,2025-08-19 15:44:32,1659.36,1499.15,0.0,160.21,0.0,1349.48,1338.53,10.95,Encompass,stripe_payments,stripe_payments,1659.36,48.42,1610.94,USD,1.0,213.04000000000008
HnC010012226,2025-08-19 15:29:19,483.98,417.1,41.71,25.17,0.0,361.0,361.0,0.0,Neuco,stripe_payments,stripe_payments,483.98,14.34,469.64,Refunded,1.0,94.29999999999998
HnC010012225,2025-08-19 14:43:57,324.12,272.87,23.88,27.37,0.0,249.03,230.56,18.47,Neuco,stripe_payments,stripe_payments,324.12,9.7,314.42,USD,1.0,55.69000000000001
CEFE000002408,2025-08-19 14:24:55,106.44127269999998,77.11663769999998,0.0,29.324634999999997,0.0,85.24,56.25,28.99,AllPoints,stripe_payments,stripe_payments,106.44,4.98,101.46,USD,0.715235,11.239999999999995
CEFE000002407,2025-08-19 14:09:19,115.81085119999999,86.4862162,0.0,29.324634999999997,0.0,92.07,63.08,28.99,AllPoints,stripe_payments,stripe_payments,115.81,5.4,110.41,USD,0.715235,12.94
HnC010012224,2025-08-19 12:21:53,332.56,286.62,17.2,28.74,0.0,246.32,228.52,17.8,Neuco,stripe_payments,stripe_payments,332.56,9.94,322.62,USD,1.0,66.36
HnC010012223,2025-08-19 11:55:48,417.13,355.66,34.68,26.79,0.0,322.43,290.4,32.03,Neuco,stripe_payments,stripe_payments,417.13,12.4,404.73,USD,1.0,69.90000000000003
HnC010012222,2025-08-19 01:58:17,96.47,64.06,5.53,26.88,0.0,66.14,46.04,20.1,Neuco,stripe_payments,stripe_payments,96.47,3.1,93.37,USD,1.0,24.130000000000003
FE001016658,2025-08-19 00:08:18,228.35,205.32,13.04,9.99,0.0,204.81,174.82,29.99,AllPoints,stripe_payments,stripe_payments,228.35,6.92,221.43,USD,1.0,9.700000000000015
HnC010012221,2025-08-18 21:42:33,341.87,232.29,18.58,91.0,0.0,224.94,182.65,42.29,Neuco,stripe_payments,stripe_payments,341.87,10.21,331.66,USD,1.0,96.51000000000002
HnC010012220,2025-08-18 21:37:06,1911.63,1539.0,144.28,228.35,0.0,1383.31,1250.73,132.58,Neuco,stripe_payments,stripe_payments,1911.63,55.74,1855.89,USD,1.0,416.84000000000003
HnC010012219,2025-08-18 21:08:04,538.4,428.61,26.79,83.0,0.0,425.87,348.53,77.34,Neuco,stripe_payments,stripe_payments,538.4,15.91,522.49,USD,1.0,80.71000000000004
HnC010012218,2025-08-18 21:00:33,220.98,174.01,12.83,34.14,0.0,158.42,147.47,10.95,Encompass,stripe_payments,stripe_payments,220.98,6.71,214.27,USD,1.0,49.14000000000001
FE001016657,2025-08-18 20:50:39,213.92,185.6,18.33,9.99,0.0,117.79,92.8,24.99,AllPoints,stripe_payments,stripe_payments,213.92,6.5,207.42,USD,1.0,83.13
HnC010012217,2025-08-18 20:49:33,614.67,428.68,41.8,144.19,0.0,396.23,363.28,32.95,Encompass,stripe_payments,stripe_payments,614.67,18.13,596.54,USD,1.0,182.18
HnC010012216,2025-08-18 20:25:10,748.7,661.58,46.31,40.81,0.0,591.28,580.33,10.95,Encompass,stripe_payments,stripe_payments,748.7,22.01,726.69,USD,1.0,113.40000000000002
HnC010012215,2025-08-18 20:14:10,868.94,791.91,43.56,33.47,0.0,699.51,667.1,32.41,Neuco,stripe_payments,stripe_payments,868.94,25.5,843.44,USD,1.0,118.43000000000004
HnC010012213,2025-08-18 19:35:18,382.86,233.56,17.86,131.44,0.0,269.43,190.92,78.51,Neuco,stripe_payments,stripe_payments,382.86,11.4,371.46,USD,1.0,90.62999999999998
HnC010012212,2025-08-18 19:06:02,509.81,453.48,30.61,25.72,0.0,334.83,323.88,10.95,Encompass,stripe_payments,stripe_payments,509.81,15.08,494.73,USD,1.0,144.82000000000002
HnC010012211,2025-08-18 18:23:03,851.86,732.77,58.62,60.47,0.0,757.84,474.07,283.77,Neuco,stripe_payments,stripe_payments,851.86,25.0,826.86,USD,1.0,44.02000000000004
HnC010012210,2025-08-18 17:59:38,212.99,144.49,11.56,56.94,0.0,147.4,122.45,24.95,Encompass,paypal_express,paypal_express,212.99,7.5,205.49,USD,1.0,50.59
HnC010012208,2025-08-18 17:36:51,1303.27,1142.2,0.0,161.07,0.0,1188.27,981.19,207.08,Neuco,stripe_payments,stripe_payments,1303.27,38.09,1265.18,USD,1.0,38.81999999999999
FE001016655,2025-08-18 17:32:29,83.26,69.45,3.82,9.99,0.0,69.6,49.61,19.99,AllPoints,stripe_payments,stripe_payments,83.26,2.71,80.55,USD,1.0,8.239999999999998
HnC010012207,2025-08-18 17:28:38,200.55,162.41,11.77,26.37,0.0,155.94,123.18,32.76,Neuco,stripe_payments,stripe_payments,200.55,6.12,194.43,USD,1.0,32.370000000000005
FE001016653,2025-08-18 16:46:50,133.45,113.53,9.93,9.99,0.0,121.2,96.21,24.99,AllPoints,paypal_express,paypal_express,133.45,4.88,128.57,USD,1.0,2.490000000000001
HnC010012205,2025-08-18 16:30:44,100.76,69.68,5.23,25.85,0.0,69.96,56.96,13.0,Neuco,stripe_payments,stripe_payments,100.76,3.22,97.54,USD,1.0,24.360000000000007
HnC010012204,2025-08-18 16:20:15,1496.36,1306.22,127.36,62.78,0.0,1253.6,994.04,259.56,Neuco,stripe_payments,stripe_payments,1496.36,43.69,1452.67,Refunded,1.0,155.3800000000001
HnC010012203,2025-08-18 16:11:49,1091.99,957.91,94.59,39.49,0.0,844.62,806.92,37.7,Neuco,stripe_payments,stripe_payments,1091.99,31.97,1060.02,USD,1.0,183.43000000000004
HnC010012202,2025-08-18 16:01:24,709.74,595.74,41.7,72.3,0.0,555.53,522.58,32.95,Encompass,stripe_payments,stripe_payments,709.74,20.88,688.86,USD,1.0,112.44999999999999
HnC010012199,2025-08-18 14:33:12,66.52,38.5,3.85,24.17,0.0,42.01,26.58,15.43,Neuco,stripe_payments,stripe_payments,66.52,2.23,64.29,USD,1.0,20.050000000000008
HnC010012198,2025-08-18 14:20:12,167.41,69.99,4.9,92.52,0.0,82.22,49.99,32.23,Neuco,stripe_payments,stripe_payments,167.41,5.15,162.26,Refunded,1.0,74.88999999999999
HnC010012197,2025-08-18 13:40:53,149.84,112.02,11.2,26.62,0.0,118.89,91.66,27.23,Neuco,paypal_express,paypal_express,149.84,5.42,144.42,USD,1.0,20.109999999999992
FE001016649,2025-08-18 13:40:45,119.09,109.1,0.0,9.99,0.0,117.45,92.46,24.99,AllPoints,stripe_payments,stripe_payments,119.09,3.75,115.34,USD,1.0,-5.859999999999989
HnC010012196,2025-08-18 13:21:27,778.18,677.01,67.7,33.47,0.0,604.82,593.87,10.95,Encompass,stripe_payments,stripe_payments,778.18,22.87,755.31,USD,1.0,127.61999999999995
HnC010012194,2025-08-18 12:29:28,573.86,503.1,43.39,27.37,0.0,452.82,423.8,29.02,Neuco,stripe_payments,stripe_payments,573.86,16.94,556.92,USD,1.0,87.15999999999995
HnC010012193,2025-08-18 11:08:07,94.12,64.53,3.87,25.72,0.0,65.64,54.69,10.95,Encompass,stripe_payments,stripe_payments,94.12,3.03,91.09,USD,1.0,22.420000000000005
CEFE000002403,2025-08-18 10:58:27,408.10113709999996,378.68404709999993,0.0,29.417089999999998,0.0,313.99,285.0,28.99,AllPoints,stripe_payments,stripe_payments,408.1,18.26,389.84,USD,0.71749,57.589999999999975
HnC010012192,2025-08-18 04:21:13,300.6,232.29,16.26,52.05,0.0,216.61,182.65,33.96,Neuco,stripe_payments,stripe_payments,300.6,9.02,291.58,USD,1.0,65.94999999999997
HnC010012191,2025-08-18 02:17:09,176.39,139.86,9.79,26.74,0.0,107.78,96.83,10.95,Encompass,stripe_payments,stripe_payments,176.39,5.42,170.97,USD,1.0,57.769999999999996
CEFE000002402,2025-08-18 02:01:50,87.9180534,58.511623400000005,0.0,29.40643,0.0,65.21,36.22,28.99,AllPoints,stripe_payments,stripe_payments,87.92,4.17,83.75,USD,0.71723,14.370000000000003
CEFE000002401,2025-08-17 14:58:25,83.06353951999999,53.69474751999999,0.0,29.368792,0.0,62.27,33.28,28.99,AllPoints,stripe_payments,stripe_payments,83.06,3.95,79.11,USD,0.716312,12.89
HnC010012190,2025-08-16 17:22:47,532.13,468.03,38.38,25.72,0.0,429.59,395.68,33.91,Neuco,stripe_payments,stripe_payments,532.13,15.73,516.4,Refunded,1.0,71.07999999999997
CEFE000002400,2025-08-16 16:44:49,87.69091504,58.322123039999994,0.0,29.368792,0.0,65.14,36.15,28.99,AllPoints,stripe_payments,stripe_payments,87.69,4.16,83.53,USD,0.716312,14.230000000000004
HnC010012189,2025-08-16 16:40:43,196.76,139.33,15.67,41.76,0.0,151.53,112.32,39.21,Neuco,stripe_payments,stripe_payments,196.76,6.01,190.75,USD,1.0,33.21000000000001
HnC010012188,2025-08-16 16:32:39,139.17,104.49,7.31,27.37,0.0,128.04,88.55,39.49,Neuco,stripe_payments,stripe_payments,139.17,4.34,134.83,Refunded,1.0,2.4500000000000135
