payment_method,transaction_id,order_number,gross_amount,psp_fees,settlement_amount,currency_code,conversion_rate
stripe_payments,pi_3S04jgLbZ7P2XrWw27ivBXzn,CEFE000002450,192.21,8.76,183.45,USD,0.715623
stripe_payments,pi_3S01naLbZ7P2XrWw2cx8MtAE,CEFE000002449,58.42,2.87,55.55,USD,0.716239
stripe_payments,pi_3RzNo6LbZ7P2XrWw1jMTyzBk,CEFE000002446,200.17,9.11,191.06,USD,0.716135
stripe_payments,pi_3RzKuVLbZ7P2XrWw1kuPSdAE,CEFE000002445,42.67,2.18,40.49,USD,0.715918
stripe_payments,pi_3Rz1mlLbZ7P2XrWw05lm3xK9,CEFE000002444,232.11,10.51,221.6,USD,0.715938
stripe_payments,pi_3Rz0CQLbZ7P2XrWw3cZdaStX,CEFE000002443,106.61,4.99,101.62,USD,0.716411
stripe_payments,pi_3RyzoULbZ7P2XrWw3s8euHNW,CEFE000002442,143.91,6.63,137.28,USD,0.716411
stripe_payments,pi_3RyvkTLbZ7P2XrWw1hoL1eiD,CEFE000002441,101.55,4.77,96.78,USD,0.711319
stripe_payments,pi_3RypeMLbZ7P2XrWw3fxUA36O,CEFE000002440,147.57,6.79,140.78,USD,0.711442
stripe_payments,pi_3RylbnLbZ7P2XrWw2hlVFQzW,CEFE000002439,133.94,6.19,127.75,USD,0.711595
stripe_payments,pi_3RykS8LbZ7P2XrWw3Ivnq5Vc,CEFE000002438,343.38,15.41,327.97,USD,0.71159
stripe_payments,pi_3Ryh6QLbZ7P2XrWw2zDilHDk,CEFE000002436,607.85,27.05,580.8,USD,0.711708
stripe_payments,pi_3RyfyMLbZ7P2XrWw0CguaYkl,FE001016689,420.56,12.5,408.06,USD,1.0
stripe_payments,pi_3Ryf8sLbZ7P2XrWw2aT2pELu,FE001016688,168.98,5.2,163.78,USD,1.0
stripe_payments,pi_3Ryf5tLbZ7P2XrWw1KLZejZY,FE001016687,318.4,9.53,308.87,USD,1.0
stripe_payments,pi_3RyeQfLbZ7P2XrWw0g1Uuqw1,CEFE000002433,107.84,5.04,102.8,USD,0.712338
stripe_payments,pi_3Rye4pLbZ7P2XrWw39eoRb1U,CEFE000002432,737.16,32.74,704.42,USD,0.712338
stripe_payments,pi_3Ryd0iLbZ7P2XrWw2BArgjzm,CEFE000002431,53.02,2.63,50.39,USD,0.712476
stripe_payments,pi_3Rycf0LbZ7P2XrWw185u448Z-refund,FE001016686,443.03,13.15,429.88,USD,1.0
stripe_payments,pi_3RycMQLbZ7P2XrWw1IeNcIxt,FE001016685,82.92,2.7,80.22,USD,1.0
stripe_payments,pi_3Ryb88LbZ7P2XrWw0f1bUksM,FE001016684,148.58,4.61,143.97,USD,1.0
stripe_payments,pi_3Ryar5LbZ7P2XrWw20sQUZok,FE001016683,165.91,5.11,160.8,USD,1.0
stripe_payments,pi_3RyaT3LbZ7P2XrWw2rTHZbhI,FE001016682,248.82,7.52,241.3,USD,1.0
stripe_payments,pi_3RyZphLbZ7P2XrWw0qsI6Dd1,CEFE000002430,89.53,4.24,85.29,USD,0.712236
stripe_payments,pi_3RyZb6LbZ7P2XrWw1gHFP0Ln,CEFE000002429,156.54,7.19,149.35,USD,0.712236
stripe_payments,pi_3RyZJeLbZ7P2XrWw1PvzgsbI,CEFE000002428,64.58,3.14,61.44,USD,0.712236
stripe_payments,pi_3RyZAQLbZ7P2XrWw3NWr39uO,FE001016681,109.05,3.46,105.59,USD,1.0
stripe_payments,pi_3RyYpqLbZ7P2XrWw2ZxSolYL,FE001016680,42.64,1.54,41.1,USD,1.0
stripe_payments,pi_3RyVbeLbZ7P2XrWw1Sxodr7O,CEFE000002427,202.58,9.21,193.37,USD,0.713272
paypal_express,9T6730887M6016509,FE001016679,475.91,16.15,459.76,USD,1.0
stripe_payments,pi_3RyMpaLbZ7P2XrWw0W6hTVcN,FE001016678,272.97,8.22,264.75,USD,1.0
stripe_payments,pi_3RyLe5LbZ7P2XrWw0li7tQ1k,CEFE000002426,269.64,12.16,257.48,USD,0.713688
stripe_payments,pi_3RyIvtLbZ7P2XrWw1c5583hF,CEFE000002425,127.62,5.92,121.7,USD,0.713451
paypal_express,1V702681GW1564331,FE001016677,262.95,9.14,253.81,USD,1.0
stripe_payments,pi_3RyHW6LbZ7P2XrWw1bSOyJaZ,FE001016676,204.89,6.24,198.65,USD,1.0
stripe_payments,pi_3RyHB6LbZ7P2XrWw0vD5wvJs,CEFE000002423,211.62,9.61,202.01,USD,0.714074
stripe_payments,pi_3RyH3bLbZ7P2XrWw1n0EfsLf,FE001016675,204.55,6.23,198.32,USD,1.0
stripe_payments,pi_3RyH2pLbZ7P2XrWw1kxrjFvE,FE001016674,598.18,17.65,580.53,USD,1.0
stripe_payments,pi_3RyGwzLbZ7P2XrWw096PhWGm,FE001016673,153.58,4.75,148.83,USD,1.0
stripe_payments,pi_3RyGozLbZ7P2XrWw2DDn5BaV,CEFE000002422,309.97,13.94,296.03,USD,0.714074
stripe_payments,pi_3RyGMCLbZ7P2XrWw3EYeWVlh-refund,FE001016672,261.47,7.88,253.59,USD,1.0
stripe_payments,pi_3RyGFGLbZ7P2XrWw1P8bIzeF,CEFE000002421,514.24,22.93,491.31,USD,0.713817
stripe_payments,pi_3RyFMSLbZ7P2XrWw2pQwAPAl,CEFE000002420,287.27,12.94,274.33,USD,0.713514
stripe_payments,pi_3RyFCULbZ7P2XrWw27bgCoai,CEFE000002419,104.52,4.9,99.62,USD,0.713514
stripe_payments,pi_3RyEzLLbZ7P2XrWw3xmacK9K,CEFE000002418,172.94,7.91,165.03,USD,0.713514
stripe_payments,pi_3RyDa8LbZ7P2XrWw3nYxJvIv,CEFE000002416,117.52,5.47,112.05,USD,0.714177
stripe_payments,pi_3RyDJjLbZ7P2XrWw18zaO4i5,CEFE000002415,664.2,29.52,634.68,USD,0.713828
stripe_payments,pi_3RyDDKLbZ7P2XrWw2CMvLqYz,CEFE000002414,121.59,5.65,115.94,USD,0.713828
paypal_express,2HM98653U4158805C,FE001016670,183.64,6.53,177.11,USD,1.0
stripe_payments,pi_3RyC55LbZ7P2XrWw2aBLDoIi-refund,FE001016669,177.87,5.46,172.41,USD,1.0
paypal_express,8P828324US462981A,FE001016668,287.46,9.95,277.51,USD,1.0
stripe_payments,pi_3Ry1HXLbZ7P2XrWw2Ex8b7L3,FE001016667,392.09,11.67,380.42,USD,1.0
stripe_payments,pi_3RxzIbLbZ7P2XrWw3VPcr8xU,CEFE000002413,457.88,20.45,437.43,USD,0.713956
stripe_payments,pi_3RxyznLbZ7P2XrWw1nwoP0Io,CEFE000002412,279.49,12.6,266.89,USD,0.713956
stripe_payments,pi_3RxybKLbZ7P2XrWw1SjxAxLY,FE001016666,133.39,4.17,129.22,USD,1.0
stripe_payments,pi_3RxxVXLbZ7P2XrWw2mUmbdUb,FE001016664,106.15,3.38,102.77,USD,1.0
stripe_payments,pi_3RxxC7LbZ7P2XrWw15zwKGKK,CEFE000002411,62.03,3.03,59.0,USD,0.713853
paypal_express,52846515GY6706246,FE001016663,190.17,6.75,183.42,USD,1.0
stripe_payments,pi_3RxuUELbZ7P2XrWw1vPDBnBi,FE001016662,413.92,12.3,401.62,USD,1.0
stripe_payments,pi_3RxtgPBQ61UuLJWK1JLLARaW-refund,HnC010012232,652.8,19.23,633.57,USD,1.0
stripe_payments,pi_3Rxsv0BQ61UuLJWK0HQuNZEX,HnC010012230,562.9,16.62,546.28,USD,1.0
stripe_payments,pi_3RxsCjLbZ7P2XrWw3FoedyFB,FE001016661,366.03,10.91,355.12,USD,1.0
stripe_payments,pi_3RxsCLBQ61UuLJWK1GoRW6eQ,HnC010012229,4260.67,123.86,4136.81,USD,1.0
stripe_payments,pi_3Rxs5nLbZ7P2XrWw3b7dIz1o,FE001016660,494.53,14.64,479.89,USD,1.0
stripe_payments,pi_3RxrnqLbZ7P2XrWw26hc8Li3,CEFE000002410,101.78,4.78,97.0,USD,0.714533
stripe_payments,pi_3Rxrg6BQ61UuLJWK2rxHiLvu,HnC010012227,1659.36,48.42,1610.94,USD,1.0
stripe_payments,pi_3RxrTNBQ61UuLJWK1O9HGyuZ-refund,HnC010012226,483.98,14.34,469.64,USD,1.0
stripe_payments,pi_3RxqlTBQ61UuLJWK0LJTsXw8,HnC010012225,324.12,9.7,314.42,USD,1.0
stripe_payments,pi_3RxqT3LbZ7P2XrWw2F1nir1U,CEFE000002408,106.44,4.98,101.46,USD,0.715235
stripe_payments,pi_3RxqDxLbZ7P2XrWw3cHji37A,CEFE000002407,115.81,5.4,110.41,USD,0.715235
stripe_payments,pi_3RxoXsBQ61UuLJWK0y40zzrb,HnC010012224,332.56,9.94,322.62,USD,1.0
stripe_payments,pi_3Rxo8UBQ61UuLJWK1DsnoKKP,HnC010012223,417.13,12.4,404.73,USD,1.0
stripe_payments,pi_3RxeoVBQ61UuLJWK2sMaSYde,HnC010012222,96.47,3.1,93.37,USD,1.0
stripe_payments,pi_3Rxd64LbZ7P2XrWw1k0X1u2l,FE001016658,228.35,6.92,221.43,USD,1.0
stripe_payments,pi_3RxaowBQ61UuLJWK1vigzBKT,HnC010012221,341.87,10.21,331.66,USD,1.0
stripe_payments,pi_3RxajbBQ61UuLJWK2wbMSsn9,HnC010012220,1911.63,55.74,1855.89,USD,1.0
stripe_payments,pi_3RxaHfBQ61UuLJWK2DtWzjcC,HnC010012219,538.4,15.91,522.49,USD,1.0
stripe_payments,pi_3RxaANBQ61UuLJWK0bfE9OSR,HnC010012218,220.98,6.71,214.27,USD,1.0
stripe_payments,pi_3Rxa0mLbZ7P2XrWw3DDIsG62,FE001016657,213.92,6.5,207.42,USD,1.0
stripe_payments,pi_3RxZzjBQ61UuLJWK1riIB9GA,HnC010012217,614.67,18.13,596.54,USD,1.0
stripe_payments,pi_3RxZc7BQ61UuLJWK1ykJPxhm,HnC010012216,748.7,22.01,726.69,USD,1.0
stripe_payments,pi_3RxZRUBQ61UuLJWK2oYuw3ii,HnC010012215,868.94,25.5,843.44,USD,1.0
stripe_payments,pi_3RxYpsBQ61UuLJWK25RmkSUP,HnC010012213,382.86,11.4,371.46,USD,1.0
stripe_payments,pi_3RxYNQBQ61UuLJWK2BLcLegE,HnC010012212,509.81,15.08,494.73,USD,1.0
stripe_payments,pi_3RxXhwBQ61UuLJWK1HwvJWmp,HnC010012211,851.86,25.0,826.86,USD,1.0
paypal_express,96S492147K194212F,HnC010012210,212.99,7.5,205.49,USD,1.0
stripe_payments,pi_3RxWu4BQ61UuLJWK0G6aWyVZ,HnC010012208,1303.27,38.09,1265.18,USD,1.0
stripe_payments,pi_3RxWv1LbZ7P2XrWw3U7qeWPv,FE001016655,83.26,2.71,80.55,USD,1.0
stripe_payments,pi_3RxWrHBQ61UuLJWK04RlDA0u,HnC010012207,200.55,6.12,194.43,USD,1.0
paypal_express,06B0160430280702L,FE001016653,133.45,4.88,128.57,USD,1.0
stripe_payments,pi_3RxVxHBQ61UuLJWK1f4WTjpV,HnC010012205,100.76,3.22,97.54,USD,1.0
stripe_payments,pi_3RxVmzBQ61UuLJWK2pdnmCnD-refund,HnC010012204,1496.36,43.69,1452.67,USD,1.0
stripe_payments,pi_3RxVewBQ61UuLJWK2kXHJTKA,HnC010012203,1091.99,31.97,1060.02,USD,1.0
stripe_payments,pi_3RxVUsBQ61UuLJWK23Dk2kK2,HnC010012202,709.74,20.88,688.86,USD,1.0
stripe_payments,pi_3RxU7WBQ61UuLJWK1IuP4gHH,HnC010012199,66.52,2.23,64.29,USD,1.0
stripe_payments,pi_3RxTuxBQ61UuLJWK2mnwYm26-refund,HnC010012198,167.41,5.15,162.26,USD,1.0
paypal_express,1D119400N4379403F,HnC010012197,149.84,5.42,144.42,USD,1.0
stripe_payments,pi_3RxTIlLbZ7P2XrWw0GDit7mx,FE001016649,119.09,3.75,115.34,USD,1.0
stripe_payments,pi_3RxT05BQ61UuLJWK2ODnngvX,HnC010012196,778.18,22.87,755.31,USD,1.0
stripe_payments,pi_3RxSBlBQ61UuLJWK191Aq6mr,HnC010012194,573.86,16.94,556.92,USD,1.0
stripe_payments,pi_3RxQv3BQ61UuLJWK1v3JOSzP,HnC010012193,94.12,3.03,91.09,USD,1.0
stripe_payments,pi_3RxQl1LbZ7P2XrWw27GIcqmc,CEFE000002403,408.1,18.26,389.84,USD,0.71749
stripe_payments,pi_3RxKZGBQ61UuLJWK1yazZjdR,HnC010012192,300.6,9.02,291.58,USD,1.0
stripe_payments,pi_3RxIdDBQ61UuLJWK0xekOrTo,HnC010012191,176.39,5.42,170.97,USD,1.0
stripe_payments,pi_3RxIONLbZ7P2XrWw26twLQPn,CEFE000002402,87.92,4.17,83.75,USD,0.71723
stripe_payments,pi_3Rx82MLbZ7P2XrWw1BQjYtWf,CEFE000002401,83.06,3.95,79.11,USD,0.716312
stripe_payments,pi_3RwnoXBQ61UuLJWK2m3FH4P5-refund,HnC010012190,532.13,15.73,516.4,USD,1.0
stripe_payments,pi_3RwnDnLbZ7P2XrWw0YFjT2IJ,CEFE000002400,87.69,4.16,83.53,USD,0.716312
stripe_payments,pi_3Rwn9pBQ61UuLJWK1bhi9DCD,HnC010012189,196.76,6.01,190.75,USD,1.0
stripe_payments,pi_3Rwn21BQ61UuLJWK0dje0b8f-refund,HnC010012188,139.17,4.34,134.83,USD,1.0
stripe_payments,pi_3RwjfBLbZ7P2XrWw3PeoFxu3,CEFE000002399,164.69,7.55,157.14,USD,0.716312
paypal_express,2PY86316L3701033W,FE001016645,199.39,7.05,192.34,USD,1.0
stripe_payments,pi_3RwjIHBQ61UuLJWK2Yo9TJqT,HnC010012187,254.41,7.68,246.73,USD,1.0
stripe_payments,pi_3Rwdm7BQ61UuLJWK2vL7bqAs,HnC010012186,389.73,11.6,378.13,USD,1.0
stripe_payments,pi_3RwdJDLbZ7P2XrWw1TK9OYZG,CEFE000002398,49.37,2.47,46.9,USD,0.716312
paypal_express,27K90141YA1948432,HnC010012185,382.38,13.07,369.31,USD,1.0
stripe_payments,pi_3RwXCALbZ7P2XrWw0uTP7NQ9,CEFE000002397,324.98,14.6,310.38,USD,0.716312
stripe_payments,pi_3RwX6CBQ61UuLJWK0P5ZNLgy,HnC010012183,156.95,4.85,152.1,USD,1.0
stripe_payments,pi_3RwWVtBQ61UuLJWK1fO4BNBE,HnC010012182,449.11,13.32,435.79,USD,1.0
stripe_payments,pi_3RwVyhBQ61UuLJWK2Xr8anfr,HnC010012181,96.2,3.09,93.11,USD,1.0
paypal_express,58N24516WA8545408,HnC010012180,1338.12,44.51,1293.61,USD,1.0
paypal_express,12E08242LT628215N,HnC010012179,80.87,3.15,77.72,USD,1.0
stripe_payments,pi_3RwTlILbZ7P2XrWw1AAyuITy,CEFE000002396,84.48,4.02,80.46,USD,0.716696
stripe_payments,pi_3RwT6cBQ61UuLJWK13QiOrH4,HnC010012177,5558.28,161.49,5396.79,USD,1.0
stripe_payments,pi_3RwSsqLbZ7P2XrWw2QkR2F8a,FE001016643,34.91,1.31,33.6,USD,1.0
stripe_payments,pi_3RwSj2LbZ7P2XrWw1JiJfn6v,FE001016642,149.24,4.63,144.61,USD,1.0
stripe_payments,pi_3RwSh4LbZ7P2XrWw0iax43P3,FE001016641,168.75,5.19,163.56,USD,1.0
stripe_payments,pi_3RwSLEBQ61UuLJWK0hNkkpn4,HnC010012175,683.53,20.12,663.41,USD,1.0
stripe_payments,pi_3RwRnUBQ61UuLJWK1tZV3Qfy,HnC010012174,952.55,27.92,924.63,USD,1.0
stripe_payments,pi_3RwRGEBQ61UuLJWK1lgs6aC5,HnC010012173,109.44,3.47,105.97,USD,1.0
stripe_payments,pi_3RwR4eLbZ7P2XrWw1RdXdMix,CEFE000002394,106.6,4.99,101.61,USD,0.716861
stripe_payments,pi_3RwR1FLbZ7P2XrWw0V2yfYKI,CEFE000002393,106.6,4.99,101.61,USD,0.716861
stripe_payments,pi_3RwQzTLbZ7P2XrWw2yJPVdaG,FE001016639,289.33,8.69,280.64,USD,1.0
stripe_payments,pi_3RwQNvLbZ7P2XrWw1FIrDMV7,CEFE000002392,91.62,4.33,87.29,USD,0.716913
stripe_payments,pi_3RwQK0LbZ7P2XrWw0yVqCt58,CEFE000002391,283.06,12.75,270.31,USD,0.716913
paypal_express,3VG70525CX092262H,HnC010012172,67.51,2.71,64.8,USD,1.0
stripe_payments,pi_3RwPggBQ61UuLJWK1xkp2mOa,HnC010012171,267.91,8.07,259.84,USD,1.0
stripe_payments,pi_3RwPF1BQ61UuLJWK1IypbW5W,HnC010012169,293.93,8.82,285.11,USD,1.0
stripe_payments,pi_3RwOrkLbZ7P2XrWw3AfvWJIg,CEFE000002390,212.4,9.65,202.75,USD,0.717339
stripe_payments,pi_3RwOBDBQ61UuLJWK0AjUHf4Z,HnC010012167,539.64,15.95,523.69,USD,1.0
stripe_payments,pi_3RwO7FBQ61UuLJWK0nPEFyAN,HnC010012166,430.96,12.8,418.16,USD,1.0
stripe_payments,pi_3RwO0pBQ61UuLJWK25SFl7k9,HnC010012165,989.44,28.99,960.45,USD,1.0
stripe_payments,pi_3RwNtHBQ61UuLJWK1a0NYLJB,HnC010012164,1015.9,29.76,986.14,USD,1.0
stripe_payments,pi_3RwNoJLbZ7P2XrWw1YS8kSD4,FE001016637,224.72,6.82,217.9,USD,1.0
stripe_payments,pi_3RwNjsLbZ7P2XrWw2TySaTZJ,FE001016636,162.22,5.0,157.22,USD,1.0
stripe_payments,pi_3RwNiSBQ61UuLJWK1EW6LKFS,HnC010012163,841.63,24.71,816.92,USD,1.0
stripe_payments,pi_3RwNIQLbZ7P2XrWw0uDnNtZQ,FE001016635,111.39,3.53,107.86,USD,1.0
stripe_payments,pi_3RwLGMLbZ7P2XrWw3Vn5X8NM,CEFE000002388,135.3,6.25,129.05,USD,0.717693
stripe_payments,pi_3RwJjBBQ61UuLJWK2mwZDwni,HnC010012161,2348.01,68.39,2279.62,USD,1.0
stripe_payments,pi_3RwDdbBQ61UuLJWK2A27okl1,HnC010012159,168.3,5.18,163.12,USD,1.0
stripe_payments,pi_3RwCeALbZ7P2XrWw3EOMBzbo-refund,CEFE000002387,637.38,28.34,609.04,USD,0.716742
stripe_payments,pi_3RwBvkLbZ7P2XrWw3zPQ7If7,FE001016634,239.67,7.25,232.42,USD,1.0
paypal_express,37P7466803217282U,FE001016633,317.11,10.92,306.19,USD,1.0
stripe_payments,pi_3RwATNLbZ7P2XrWw25vPchbl,CEFE000002386,84.39,4.01,80.38,USD,0.716654
stripe_payments,pi_3Rw9JhLbZ7P2XrWw2wefDFQm,CEFE000002384,113.62,5.3,108.32,USD,0.716545
stripe_payments,pi_3Rw8rYBQ61UuLJWK1VlmhnNP,HnC010012158,313.07,9.38,303.69,USD,1.0
stripe_payments,pi_3Rw80vBQ61UuLJWK0CHVJ3qC,HnC010012157,303.36,9.1,294.26,USD,1.0
stripe_payments,pi_3Rw7gDLbZ7P2XrWw0quyQi01,CEFE000002383,189.75,8.65,181.1,USD,0.716758
stripe_payments,pi_3Rw7WrLbZ7P2XrWw3WxjDlb4,CEFE000002382,288.01,12.97,275.04,USD,0.716758
stripe_payments,pi_3Rw7TUBQ61UuLJWK1t7ajFrc,HnC010012156,268.05,8.07,259.98,USD,1.0
stripe_payments,pi_3Rw6lvBQ61UuLJWK2WY2JWnf,HnC010012154,292.8,8.79,284.01,USD,1.0
stripe_payments,pi_3Rw6bvBQ61UuLJWK2MfuojFm,HnC010012153,201.4,6.14,195.26,USD,1.0
stripe_payments,pi_3Rw6ZxBQ61UuLJWK1msJD6jq,HnC010012152,2409.44,70.17,2339.27,USD,1.0
stripe_payments,pi_3Rw6JmBQ61UuLJWK2nvUc41F,HnC010012151,883.03,25.91,857.12,USD,1.0
stripe_payments,pi_3Rw6BOLbZ7P2XrWw22M4D4Nq,FE001016632,421.15,12.51,408.64,USD,1.0
stripe_payments,pi_3Rw670BQ61UuLJWK2zRljCnc,HnC010012150,150.0,4.65,145.35,USD,1.0
stripe_payments,pi_3Rw5v2LbZ7P2XrWw2fb2XjGm,CEFE000002381,663.5,29.49,634.01,USD,0.716726
stripe_payments,pi_3Rw5FSBQ61UuLJWK26Xelcr3,HnC010012148,273.45,8.23,265.22,USD,1.0
stripe_payments,pi_3Rw3H6BQ61UuLJWK2uWF34WL,HnC010012143,993.69,29.12,964.57,USD,1.0
stripe_payments,pi_3Rw2pcBQ61UuLJWK05w4BQhN,HnC010012147,670.85,19.75,651.1,USD,1.0
stripe_payments,pi_3Rw2pBBQ61UuLJWK1Wm1URUZ,HnC010012146,394.98,11.75,383.23,USD,1.0
paypal_express,72R238787E110450K,HnC010012145,460.64,15.65,444.99,USD,1.0
paypal_express,1RX442182P0409938,HnC010012144,365.47,12.51,352.96,USD,1.0
stripe_payments,pi_3Rw1bnLbZ7P2XrWw3nSHcKu7,CEFE000002378,151.5,6.97,144.53,USD,0.717579
stripe_payments,pi_3Rw1HmLbZ7P2XrWw39OqVnCO,CEFE000002377,244.74,11.07,233.67,USD,0.717579
stripe_payments,pi_3Rw11MBQ61UuLJWK0ZTViYPm,HnC010012142,316.31,9.47,306.84,USD,1.0
stripe_payments,pi_3Rw05mBQ61UuLJWK2RJmTmDT,HnC010012141,102.4,3.27,99.13,USD,1.0
stripe_payments,pi_3RvrgaLbZ7P2XrWw16nPQqKG,CEFE000002376,241.31,10.92,230.39,USD,0.719497
paypal_express,77P78293VJ000915T,HnC010012140,92.84,3.54,89.3,USD,1.0
stripe_payments,pi_3Rvo4HBQ61UuLJWK0OPaoaI5,HnC010012139,298.03,8.94,289.09,USD,1.0
paypal_express,14301616MU858672V,HnC010012138,67.63,2.72,64.91,USD,1.0
stripe_payments,pi_3RvnWJBQ61UuLJWK02wVvM5l,HnC010012137,840.68,24.68,816.0,USD,1.0
stripe_payments,pi_3RvmhZBQ61UuLJWK0EI5qCKq,HnC010012136,700.37,20.61,679.76,USD,1.0
stripe_payments,pi_3RvmcmLbZ7P2XrWw3CbwBrOW,CEFE000002374,99.82,4.69,95.13,USD,0.719497
stripe_payments,pi_3Rvl4vLbZ7P2XrWw3HXBA8j7,CEFE000002373,118.86,5.53,113.33,USD,0.719472
stripe_payments,pi_3RvkoXBQ61UuLJWK1vuNi1xN,HnC010012134,379.36,11.3,368.06,USD,1.0
stripe_payments,pi_3RvkUZLbZ7P2XrWw3FP5jaOg,CEFE000002372,286.63,12.91,273.72,USD,0.718923
stripe_payments,pi_3RvjRrBQ61UuLJWK0mufrJxC,HnC010012133,1575.2,45.98,1529.22,USD,1.0
stripe_payments,pi_3RvjGPBQ61UuLJWK2BubL7lg,HnC010012132,1042.04,30.52,1011.52,USD,1.0
stripe_payments,pi_3Rviz0LbZ7P2XrWw2RBMfOVs,FE001016628,126.74,3.98,122.76,USD,1.0
stripe_payments,pi_3RvimOBQ61UuLJWK1VUjo7Er,HnC010012131,77.63,2.55,75.08,USD,1.0
stripe_payments,pi_3RvihJLbZ7P2XrWw08YsQ66Q,CEFE000002370,513.39,22.89,490.5,USD,0.718923
stripe_payments,pi_3RviIxBQ61UuLJWK09trqwVl,HnC010012130,409.38,12.17,397.21,USD,1.0
stripe_payments,pi_3RviHkBQ61UuLJWK03Up9jkU,HnC010012129,708.18,20.84,687.34,USD,1.0
stripe_payments,pi_3RviFwBQ61UuLJWK1V1kal8F,HnC010012128,307.23,9.21,298.02,USD,1.0
stripe_payments,pi_3RviAzLbZ7P2XrWw2etapPDt,CEFE000002369,127.08,5.89,121.19,USD,0.718923
stripe_payments,pi_3Rvi6yBQ61UuLJWK0XbIW1ra-refund,HnC010012127,105.23,3.35,101.88,USD,1.0
stripe_payments,pi_3RvhxLBQ61UuLJWK22Ti9eY3,HnC010012126,910.71,26.71,884.0,USD,1.0
stripe_payments,pi_3RvhXTBQ61UuLJWK03VqdqCC,HnC010012125,1031.38,30.21,1001.17,USD,1.0
stripe_payments,pi_3RvhTWLbZ7P2XrWw0wueRmY9,FE001016627,45.64,1.62,44.02,USD,1.0
stripe_payments,pi_3Rvgr9BQ61UuLJWK2OBnIlgS,HnC010012124,349.79,10.44,339.35,USD,1.0
stripe_payments,pi_3RvgpGLbZ7P2XrWw0Jlmswmu,CEFE000002366,509.09,22.7,486.39,USD,0.719403
stripe_payments,pi_3RvgnwBQ61UuLJWK0N2zZUcN,HnC010012123,376.5,11.22,365.28,USD,1.0
stripe_payments,pi_3RvgSSBQ61UuLJWK1oEBrjqR,HnC010012122,702.46,20.67,681.79,USD,1.0
stripe_payments,pi_3RvePHLbZ7P2XrWw12YBwQSh,FE001016626,51.11,1.78,49.33,USD,1.0
stripe_payments,pi_3RveCKLbZ7P2XrWw21HZjPkH,CEFE000002363,119.67,5.57,114.1,USD,0.719717
paypal_express,9EF406435P506602U,FE001016625,320.1,15.82,304.28,USD,1.0
