Order Number,Purchased on,Total Purchased,Subtotal Purchased,Tax,Shipping,Discount,Vendor Amount,Vendor Subtotal,Vendor Shipping,Vendor Name,Payment Method,Payment Transaction ID
CEFE000002463,2025-08-27 00:30:19,151.39,110.39,0.00,41.00,0.00,86.5800,57.5900,28.9900,AllPoints,stripe_payments,pi_3S0XFlLbZ7P2XrWw2ZRB5Q8w
CEFE000002462,2025-08-26 22:19:47,376.60,335.60,0.00,41.00,0.00,204.0700,175.0800,28.9900,AllPoints,stripe_payments,pi_3S0VDQLbZ7P2XrWw3Dv3zUjG
CEFE000002457,2025-08-26 18:17:53,299.57,258.57,0.00,41.00,0.00,163.8800,134.8900,28.9900,AllPoints,stripe_payments,pi_3S0RRLLbZ7P2XrWw1Oe3gMou
CEFE000002456,2025-08-26 18:14:19,425.92,384.92,0.00,41.00,0.00,229.7900,200.8000,28.9900,AllPoints,stripe_payments,pi_3S0RNsLbZ7P2XrWw3llifYpA
CEFE000002455,2025-08-26 15:01:18,119.24,78.24,0.00,41.00,0.00,63.7300,34.7400,28.9900,AllPoints,stripe_payments,pi_3S0ON5LbZ7P2XrWw2TQxJa7p
CEFE000002454,2025-08-26 12:15:14,145.95,104.95,0.00,41.00,0.00,83.7400,54.7500,28.9900,AllPoints,stripe_payments,pi_3S0LmOLbZ7P2XrWw1LRiFBmt
CEFE000002453,2025-08-25 19:26:08,103.73,62.73,0.00,41.00,0.00,56.8400,27.8500,28.9900,AllPoints,stripe_payments,pi_3S061qLbZ7P2XrWw2LnOCXPU
CEFE000002452,2025-08-25 18:59:22,263.30,222.30,0.00,41.00,0.00,144.9600,115.9700,28.9900,AllPoints,stripe_payments,pi_3S05bwLbZ7P2XrWw1Tc9JS2V
CEFE000002450,2025-08-25 18:03:18,268.59,227.59,0.00,41.00,0.00,147.7200,118.7300,28.9900,AllPoints,stripe_payments,pi_3S04jgLbZ7P2XrWw27ivBXzn
CEFE000002449,2025-08-25 14:55:09,81.57,40.57,0.00,41.00,0.00,47.0000,18.0100,28.9900,AllPoints,stripe_payments,pi_3S01naLbZ7P2XrWw2cx8MtAE
CEFE000002446,2025-08-23 20:13:00,279.52,238.52,0.00,41.00,0.00,153.4200,124.4300,0.0000,AllPoints,stripe_payments,pi_3RzNo6LbZ7P2XrWw1jMTyzBk
CEFE000002445,2025-08-23 17:07:25,59.60,18.60,0.00,41.00,0.00,34.7700,5.7800,28.9900,AllPoints,stripe_payments,pi_3RzKuVLbZ7P2XrWw1kuPSdAE
CEFE000002444,2025-08-22 20:42:09,324.20,283.20,0.00,41.00,0.00,151.4900,122.5000,28.9900,AllPoints,stripe_payments,pi_3Rz1mlLbZ7P2XrWw05lm3xK9
CEFE000002443,2025-08-22 19:00:32,148.81,113.48,0.00,41.00,-5.67,88.1900,59.2000,28.9900,AllPoints,stripe_payments,pi_3Rz0CQLbZ7P2XrWw3cZdaStX
CEFE000002442,2025-08-22 18:35:49,200.87,159.87,0.00,41.00,0.00,112.3900,83.4000,28.9900,AllPoints,stripe_payments,pi_3RyzoULbZ7P2XrWw3s8euHNW
CEFE000002441,2025-08-22 14:15:23,142.76,101.76,0.00,41.00,0.00,74.1700,45.1800,28.9900,AllPoints,stripe_payments,pi_3RyvkTLbZ7P2XrWw1hoL1eiD
CEFE000002440,2025-08-22 07:44:42,207.42,166.42,0.00,41.00,0.00,115.8100,86.8200,28.9900,AllPoints,stripe_payments,pi_3RypeMLbZ7P2XrWw3fxUA36O
CEFE000002439,2025-08-22 03:25:45,188.23,147.23,0.00,41.00,0.00,124.4700,95.4800,28.9900,AllPoints,stripe_payments,pi_3RylbnLbZ7P2XrWw2hlVFQzW
CEFE000002438,2025-08-22 02:11:42,482.56,441.56,0.00,41.00,0.00,259.3500,230.3600,28.9900,AllPoints,stripe_payments,pi_3RykS8LbZ7P2XrWw3Ivnq5Vc
CEFE000002436,2025-08-21 22:37:05,854.07,855.86,0.00,41.00,-42.79,489.2600,460.2700,28.9900,AllPoints,stripe_payments,pi_3Ryh6QLbZ7P2XrWw2zDilHDk
FE001016689,2025-08-21 21:24:40,420.56,378.57,0.00,41.99,0.00,394.1500,369.2000,24.9500,Encompass,stripe_payments,pi_3RyfyMLbZ7P2XrWw0CguaYkl
FE001016688,2025-08-21 20:31:28,168.98,144.87,14.12,9.99,0.00,133.7200,122.7700,10.9500,Encompass,stripe_payments,pi_3Ryf8sLbZ7P2XrWw2aT2pELu
FE001016687,2025-08-21 20:28:23,318.40,292.89,15.52,9.99,0.00,284.3800,256.9200,27.4600,AllPoints,stripe_payments,pi_3Ryf5tLbZ7P2XrWw1KLZejZY
CEFE000002433,2025-08-21 19:45:47,151.39,110.39,0.00,41.00,0.00,86.5800,57.5900,28.9900,AllPoints,stripe_payments,pi_3RyeQfLbZ7P2XrWw0g1Uuqw1
CEFE000002432,2025-08-21 19:23:14,1034.84,1046.15,0.00,41.00,-52.31,563.4200,534.4300,28.9900,AllPoints,stripe_payments,pi_3Rye4pLbZ7P2XrWw39eoRb1U
CEFE000002431,2025-08-21 18:14:54,74.42,35.18,0.00,41.00,-1.76,44.6100,15.6200,28.9900,AllPoints,stripe_payments,pi_3Ryd0iLbZ7P2XrWw2BArgjzm
FE001016686,2025-08-21 17:52:28,443.03,400.96,32.08,9.99,0.00,362.6700,351.7200,10.9500,Encompass,stripe_payments,pi_3Rycf0LbZ7P2XrWw185u448Z-refund
FE001016685,2025-08-21 17:33:17,82.92,66.30,6.63,9.99,0.00,81.1800,56.1900,24.9900,AllPoints,stripe_payments,pi_3RycMQLbZ7P2XrWw1IeNcIxt
FE001016684,2025-08-21 16:14:27,148.58,128.32,10.27,9.99,0.00,124.3600,108.7400,15.6200,AllPoints,stripe_payments,pi_3Ryb88LbZ7P2XrWw0f1bUksM
FE001016683,2025-08-21 15:56:49,165.91,155.92,0.00,9.99,0.00,152.2300,129.0400,23.1900,AllPoints,stripe_payments,pi_3Ryar5LbZ7P2XrWw20sQUZok
FE001016682,2025-08-21 15:32:00,248.82,238.83,0.00,9.99,0.00,229.4000,208.0400,21.3600,AllPoints,stripe_payments,pi_3RyaT3LbZ7P2XrWw2rTHZbhI
CEFE000002430,2025-08-21 14:51:20,125.70,84.70,0.00,41.00,0.00,66.5900,37.6000,28.9900,AllPoints,stripe_payments,pi_3RyZphLbZ7P2XrWw0qsI6Dd1
CEFE000002429,2025-08-21 14:36:14,219.79,178.79,0.00,41.00,0.00,122.2600,93.2700,28.9900,AllPoints,stripe_payments,pi_3RyZb6LbZ7P2XrWw1gHFP0Ln
CEFE000002428,2025-08-21 14:18:11,90.67,49.67,0.00,41.00,0.00,51.0400,22.0500,28.9900,AllPoints,stripe_payments,pi_3RyZJeLbZ7P2XrWw1PvzgsbI
FE001016681,2025-08-21 14:08:40,109.05,91.72,7.34,9.99,0.00,91.3600,77.7300,13.6300,AllPoints,stripe_payments,pi_3RyZAQLbZ7P2XrWw3NWr39uO
FE001016680,2025-08-21 13:47:24,42.64,30.80,1.85,9.99,0.00,36.0400,22.0000,14.0400,AllPoints,stripe_payments,pi_3RyYpqLbZ7P2XrWw2ZxSolYL
CEFE000002427,2025-08-21 10:20:32,284.02,243.02,0.00,41.00,0.00,155.7700,126.7800,28.9900,AllPoints,stripe_payments,pi_3RyVbeLbZ7P2XrWw1Sxodr7O
FE001016679,2025-08-21 06:04:01,475.91,422.60,43.32,9.99,0.00,380.0500,360.5400,19.5100,AllPoints,paypal_express,9T6730887M6016509
FE001016678,2025-08-21 00:58:20,272.97,245.20,17.78,9.99,0.00,241.4500,216.8700,24.5800,AllPoints,stripe_payments,pi_3RyMpaLbZ7P2XrWw0W6hTVcN
CEFE000002426,2025-08-20 23:42:23,377.81,336.81,0.00,41.00,0.00,197.2000,168.2100,28.9900,AllPoints,stripe_payments,pi_3RyLe5LbZ7P2XrWw0li7tQ1k
CEFE000002425,2025-08-20 20:48:35,178.88,137.88,0.00,41.00,0.00,90.2100,61.2200,28.9900,AllPoints,stripe_payments,pi_3RyIvtLbZ7P2XrWw1c5583hF
FE001016677,2025-08-20 20:19:14,262.95,234.22,18.74,9.99,0.00,228.4900,198.5000,29.9900,AllPoints,paypal_express,1V702681GW1564331
FE001016676,2025-08-20 19:17:52,204.89,148.43,14.47,41.99,0.00,158.7400,125.7900,32.9500,Encompass,stripe_payments,pi_3RyHW6LbZ7P2XrWw1bSOyJaZ
CEFE000002423,2025-08-20 18:56:10,296.36,255.36,0.00,41.00,0.00,142.3600,113.3700,28.9900,AllPoints,stripe_payments,pi_3RyHB6LbZ7P2XrWw0vD5wvJs
FE001016675,2025-08-20 18:49:24,204.55,178.09,16.47,9.99,0.00,180.9100,150.9200,29.9900,AllPoints,stripe_payments,pi_3RyH3bLbZ7P2XrWw1n0EfsLf
FE001016674,2025-08-20 18:47:44,598.18,544.62,43.57,9.99,0.00,512.7300,477.7400,34.9900,AllPoints,stripe_payments,pi_3RyH2pLbZ7P2XrWw1kxrjFvE
FE001016673,2025-08-20 18:41:36,153.58,130.54,13.05,9.99,0.00,134.6500,110.6300,24.0200,AllPoints,stripe_payments,pi_3RyGwzLbZ7P2XrWw096PhWGm
CEFE000002422,2025-08-20 18:33:19,434.09,393.09,0.00,41.00,0.00,241.2500,212.2600,28.9900,AllPoints,stripe_payments,pi_3RyGozLbZ7P2XrWw2DDn5BaV
FE001016672,2025-08-20 18:03:34,261.47,232.45,19.03,9.99,0.00,229.5600,203.9000,25.6600,AllPoints,stripe_payments,pi_3RyGMCLbZ7P2XrWw3EYeWVlh-refund
CEFE000002421,2025-08-20 17:56:25,720.41,715.17,0.00,41.00,-35.76,415.1700,386.1800,28.9900,AllPoints,stripe_payments,pi_3RyGFGLbZ7P2XrWw1P8bIzeF
CEFE000002420,2025-08-20 16:59:46,402.61,361.61,0.00,41.00,0.00,209.1800,180.1900,28.9900,AllPoints,stripe_payments,pi_3RyFMSLbZ7P2XrWw2pQwAPAl
CEFE000002419,2025-08-20 16:49:28,146.49,105.49,0.00,41.00,0.00,86.4100,57.4200,28.9900,AllPoints,stripe_payments,pi_3RyFCULbZ7P2XrWw27bgCoai
CEFE000002418,2025-08-20 16:35:53,242.38,201.38,0.00,41.00,0.00,134.0500,105.0600,28.9900,AllPoints,stripe_payments,pi_3RyEzLLbZ7P2XrWw3xmacK9K
CEFE000002416,2025-08-20 15:05:46,164.56,123.56,0.00,41.00,0.00,56.4200,27.4300,28.9900,AllPoints,stripe_payments,pi_3RyDa8LbZ7P2XrWw3nYxJvIv
CEFE000002415,2025-08-20 14:48:48,930.47,889.47,0.00,41.00,0.00,509.2900,480.3000,28.9900,AllPoints,stripe_payments,pi_3RyDJjLbZ7P2XrWw18zaO4i5
CEFE000002414,2025-08-20 14:42:12,170.33,129.33,0.00,41.00,0.00,96.4600,67.4700,28.9900,AllPoints,stripe_payments,pi_3RyDDKLbZ7P2XrWw2CMvLqYz
FE001016670,2025-08-20 14:08:56,183.64,162.29,11.36,9.99,0.00,167.5200,137.5300,29.9900,AllPoints,paypal_express,2HM98653U4158805C
FE001016669,2025-08-20 13:29:37,177.87,155.44,12.44,9.99,0.00,161.7200,131.7300,29.9900,AllPoints,stripe_payments,pi_3RyC55LbZ7P2XrWw2aBLDoIi-refund
FE001016668,2025-08-20 06:02:53,287.46,259.32,18.15,9.99,0.00,249.7500,219.7600,29.9900,AllPoints,paypal_express,8P828324US462981A
FE001016667,2025-08-20 01:57:46,392.09,359.62,22.48,9.99,0.00,326.4100,315.4600,10.9500,Encompass,stripe_payments,pi_3Ry1HXLbZ7P2XrWw2Ex8b7L3
CEFE000002413,2025-08-19 23:50:43,641.33,600.33,0.00,41.00,0.00,335.3900,306.4000,28.9900,AllPoints,stripe_payments,pi_3RxzIbLbZ7P2XrWw3VPcr8xU
CEFE000002412,2025-08-19 23:31:17,391.47,350.47,0.00,41.00,0.00,199.0800,170.0900,28.9900,AllPoints,stripe_payments,pi_3RxyznLbZ7P2XrWw1nwoP0Io
FE001016666,2025-08-19 23:06:00,133.39,115.33,8.07,9.99,0.00,108.6900,97.7400,10.9500,Encompass,stripe_payments,pi_3RxybKLbZ7P2XrWw1SjxAxLY
FE001016664,2025-08-19 21:55:58,106.15,89.04,7.12,9.99,0.00,88.5900,63.6000,24.9900,AllPoints,stripe_payments,pi_3RxxVXLbZ7P2XrWw2mUmbdUb
CEFE000002411,2025-08-19 21:35:53,86.90,45.90,0.00,41.00,0.00,49.3700,20.3800,28.9900,AllPoints,stripe_payments,pi_3RxxC7LbZ7P2XrWw15zwKGKK
FE001016663,2025-08-19 19:26:57,190.17,165.68,14.50,9.99,0.00,170.3600,140.4000,29.9600,AllPoints,paypal_express,52846515GY6706246
FE001016662,2025-08-19 18:42:24,413.92,374.01,29.92,9.99,0.00,363.0700,328.0800,34.9900,AllPoints,stripe_payments,pi_3RxuUELbZ7P2XrWw1vPDBnBi
HnC010012232,2025-08-19 17:50:55,652.80,586.06,41.02,25.72,0.00,433.1400,412.1400,21.0000,Neuco,stripe_payments,pi_3RxtgPBQ61UuLJWK1JLLARaW-refund
HnC010012230,2025-08-19 17:02:05,562.90,490.75,39.26,32.89,0.00,441.4300,430.4800,10.9500,Encompass,stripe_payments,pi_3Rxsv0BQ61UuLJWK0HQuNZEX
FE001016661,2025-08-19 16:16:11,366.03,351.91,21.73,9.99,-17.60,343.6800,308.6900,34.9900,AllPoints,stripe_payments,pi_3RxsCjLbZ7P2XrWw3FoedyFB
HnC010012229,2025-08-19 16:15:47,4260.67,4077.20,387.33,0.00,-203.86,3640.3500,3640.3500,0.0000,Neuco,stripe_payments,pi_3RxsCLBQ61UuLJWK1GoRW6eQ
FE001016660,2025-08-19 16:09:01,494.53,452.84,31.70,9.99,0.00,432.2200,397.2300,34.9900,AllPoints,stripe_payments,pi_3Rxs5nLbZ7P2XrWw3b7dIz1o
CEFE000002410,2025-08-19 15:50:28,142.44,101.44,0.00,41.00,0.00,81.9100,52.9200,28.9900,AllPoints,stripe_payments,pi_3RxrnqLbZ7P2XrWw26hc8Li3
HnC010012227,2025-08-19 15:44:32,1659.36,1499.15,0.00,160.21,0.00,1349.4800,1338.5300,10.9500,Encompass,stripe_payments,pi_3Rxrg6BQ61UuLJWK2rxHiLvu
HnC010012226,2025-08-19 15:29:19,483.98,417.10,41.71,25.17,0.00,361.0000,361.0000,0.0000,Neuco,stripe_payments,pi_3RxrTNBQ61UuLJWK1O9HGyuZ-refund
HnC010012225,2025-08-19 14:43:57,324.12,272.87,23.88,27.37,0.00,249.0300,230.5600,18.4700,Neuco,stripe_payments,pi_3RxqlTBQ61UuLJWK0LJTsXw8
CEFE000002408,2025-08-19 14:24:55,148.82,107.82,0.00,41.00,0.00,85.2400,56.2500,28.9900,AllPoints,stripe_payments,pi_3RxqT3LbZ7P2XrWw2F1nir1U
CEFE000002407,2025-08-19 14:09:19,161.92,120.92,0.00,41.00,0.00,92.0700,63.0800,28.9900,AllPoints,stripe_payments,pi_3RxqDxLbZ7P2XrWw3cHji37A
HnC010012224,2025-08-19 12:21:53,332.56,286.62,17.20,28.74,0.00,246.3200,228.5200,17.8000,Neuco,stripe_payments,pi_3RxoXsBQ61UuLJWK0y40zzrb
HnC010012223,2025-08-19 11:55:48,417.13,355.66,34.68,26.79,0.00,322.4300,290.4000,32.0300,Neuco,stripe_payments,pi_3Rxo8UBQ61UuLJWK1DsnoKKP
HnC010012222,2025-08-19 01:58:17,96.47,64.06,5.53,26.88,0.00,66.1400,46.0400,20.1000,Neuco,stripe_payments,pi_3RxeoVBQ61UuLJWK2sMaSYde
FE001016658,2025-08-19 00:08:18,228.35,205.32,13.04,9.99,0.00,204.8100,174.8200,29.9900,AllPoints,stripe_payments,pi_3Rxd64LbZ7P2XrWw1k0X1u2l
HnC010012221,2025-08-18 21:42:33,341.87,232.29,18.58,91.00,0.00,224.9400,182.6500,42.2900,Neuco,stripe_payments,pi_3RxaowBQ61UuLJWK1vigzBKT
HnC010012220,2025-08-18 21:37:06,1911.63,1539.00,144.28,228.35,0.00,1383.3100,1250.7300,132.5800,Neuco,stripe_payments,pi_3RxajbBQ61UuLJWK2wbMSsn9
HnC010012219,2025-08-18 21:08:04,538.40,428.61,26.79,83.00,0.00,425.8700,348.5300,77.3400,Neuco,stripe_payments,pi_3RxaHfBQ61UuLJWK2DtWzjcC
HnC010012218,2025-08-18 21:00:33,220.98,174.01,12.83,34.14,0.00,158.4200,147.4700,10.9500,Encompass,stripe_payments,pi_3RxaANBQ61UuLJWK0bfE9OSR
FE001016657,2025-08-18 20:50:39,213.92,185.60,18.33,9.99,0.00,117.7900,92.8000,24.9900,AllPoints,stripe_payments,pi_3Rxa0mLbZ7P2XrWw3DDIsG62
HnC010012217,2025-08-18 20:49:33,614.67,428.68,41.80,144.19,0.00,396.2300,363.2800,32.9500,Encompass,stripe_payments,pi_3RxZzjBQ61UuLJWK1riIB9GA
HnC010012216,2025-08-18 20:25:10,748.70,661.58,46.31,40.81,0.00,591.2800,580.3300,10.9500,Encompass,stripe_payments,pi_3RxZc7BQ61UuLJWK1ykJPxhm
HnC010012215,2025-08-18 20:14:10,868.94,791.91,43.56,33.47,0.00,699.5100,667.1000,32.4100,Neuco,stripe_payments,pi_3RxZRUBQ61UuLJWK2oYuw3ii
HnC010012213,2025-08-18 19:35:18,382.86,233.56,17.86,131.44,0.00,269.4300,190.9200,78.5100,Neuco,stripe_payments,pi_3RxYpsBQ61UuLJWK25RmkSUP
HnC010012212,2025-08-18 19:06:02,509.81,453.48,30.61,25.72,0.00,334.8300,323.8800,10.9500,Encompass,stripe_payments,pi_3RxYNQBQ61UuLJWK2BLcLegE
HnC010012211,2025-08-18 18:23:03,851.86,732.77,58.62,60.47,0.00,757.8400,474.0700,283.7700,Neuco,stripe_payments,pi_3RxXhwBQ61UuLJWK1HwvJWmp
HnC010012210,2025-08-18 17:59:38,212.99,144.49,11.56,56.94,0.00,147.4000,122.4500,24.9500,Encompass,paypal_express,96S492147K194212F
HnC010012208,2025-08-18 17:36:51,1303.27,1142.20,0.00,161.07,0.00,1188.2700,981.1900,207.0800,Neuco,stripe_payments,pi_3RxWu4BQ61UuLJWK0G6aWyVZ
FE001016655,2025-08-18 17:32:29,83.26,69.45,3.82,9.99,0.00,69.6000,49.6100,19.9900,AllPoints,stripe_payments,pi_3RxWv1LbZ7P2XrWw3U7qeWPv
HnC010012207,2025-08-18 17:28:38,200.55,162.41,11.77,26.37,0.00,155.9400,123.1800,32.7600,Neuco,stripe_payments,pi_3RxWrHBQ61UuLJWK04RlDA0u
FE001016653,2025-08-18 16:46:50,133.45,113.53,9.93,9.99,0.00,121.2000,96.2100,24.9900,AllPoints,paypal_express,06B0160430280702L
HnC010012205,2025-08-18 16:30:44,100.76,69.68,5.23,25.85,0.00,69.9600,56.9600,13.0000,Neuco,stripe_payments,pi_3RxVxHBQ61UuLJWK1f4WTjpV
HnC010012204,2025-08-18 16:20:15,1496.36,1306.22,127.36,62.78,0.00,1253.6000,994.0400,259.5600,Neuco,stripe_payments,pi_3RxVmzBQ61UuLJWK2pdnmCnD-refund
HnC010012203,2025-08-18 16:11:49,1091.99,957.91,94.59,39.49,0.00,844.6200,806.9200,37.7000,Neuco,stripe_payments,pi_3RxVewBQ61UuLJWK2kXHJTKA
HnC010012202,2025-08-18 16:01:24,709.74,595.74,41.70,72.30,0.00,555.5300,522.5800,32.9500,Encompass,stripe_payments,pi_3RxVUsBQ61UuLJWK23Dk2kK2
HnC010012199,2025-08-18 14:33:12,66.52,38.50,3.85,24.17,0.00,42.0100,26.5800,15.4300,Neuco,stripe_payments,pi_3RxU7WBQ61UuLJWK1IuP4gHH
HnC010012198,2025-08-18 14:20:12,167.41,69.99,4.90,92.52,0.00,82.2200,49.9900,32.2300,Neuco,stripe_payments,pi_3RxTuxBQ61UuLJWK2mnwYm26-refund
HnC010012197,2025-08-18 13:40:53,149.84,112.02,11.20,26.62,0.00,118.8900,91.6600,27.2300,Neuco,paypal_express,1D119400N4379403F
FE001016649,2025-08-18 13:40:45,119.09,109.10,0.00,9.99,0.00,117.4500,92.4600,24.9900,AllPoints,stripe_payments,pi_3RxTIlLbZ7P2XrWw0GDit7mx
HnC010012196,2025-08-18 13:21:27,778.18,677.01,67.70,33.47,0.00,604.8200,593.8700,10.9500,Encompass,stripe_payments,pi_3RxT05BQ61UuLJWK2ODnngvX
HnC010012194,2025-08-18 12:29:28,573.86,503.10,43.39,27.37,0.00,452.8200,423.8000,29.0200,Neuco,stripe_payments,pi_3RxSBlBQ61UuLJWK191Aq6mr
HnC010012193,2025-08-18 11:08:07,94.12,64.53,3.87,25.72,0.00,65.6400,54.6900,10.9500,Encompass,stripe_payments,pi_3RxQv3BQ61UuLJWK1v3JOSzP
CEFE000002403,2025-08-18 10:58:27,568.79,527.79,0.00,41.00,0.00,313.9900,285.0000,28.9900,AllPoints,stripe_payments,pi_3RxQl1LbZ7P2XrWw27GIcqmc
HnC010012192,2025-08-18 04:21:13,300.60,232.29,16.26,52.05,0.00,216.6100,182.6500,33.9600,Neuco,stripe_payments,pi_3RxKZGBQ61UuLJWK1yazZjdR
HnC010012191,2025-08-18 02:17:09,176.39,139.86,9.79,26.74,0.00,107.7800,96.8300,10.9500,Encompass,stripe_payments,pi_3RxIdDBQ61UuLJWK0xekOrTo
CEFE000002402,2025-08-18 02:01:50,122.58,81.58,0.00,41.00,0.00,65.2100,36.2200,28.9900,AllPoints,stripe_payments,pi_3RxIONLbZ7P2XrWw26twLQPn
CEFE000002401,2025-08-17 14:58:25,115.96,74.96,0.00,41.00,0.00,62.2700,33.2800,28.9900,AllPoints,stripe_payments,pi_3Rx82MLbZ7P2XrWw1BQjYtWf
HnC010012190,2025-08-16 17:22:47,532.13,468.03,38.38,25.72,0.00,429.5900,395.6800,33.9100,Neuco,stripe_payments,pi_3RwnoXBQ61UuLJWK2m3FH4P5-refund
CEFE000002400,2025-08-16 16:44:49,122.42,81.42,0.00,41.00,0.00,65.1400,36.1500,28.9900,AllPoints,stripe_payments,pi_3RwnDnLbZ7P2XrWw0YFjT2IJ
HnC010012189,2025-08-16 16:40:43,196.76,139.33,15.67,41.76,0.00,151.5300,112.3200,39.2100,Neuco,stripe_payments,pi_3Rwn9pBQ61UuLJWK1bhi9DCD
HnC010012188,2025-08-16 16:32:39,139.17,104.49,7.31,27.37,0.00,128.0400,88.5500,39.4900,Neuco,stripe_payments,pi_3Rwn21BQ61UuLJWK0dje0b8f-refund
CEFE000002399,2025-08-16 12:56:51,229.91,188.91,0.00,41.00,0.00,127.5400,98.5500,28.9900,AllPoints,stripe_payments,pi_3RwjfBLbZ7P2XrWw3PeoFxu3
FE001016645,2025-08-16 12:52:09,199.39,178.09,11.31,9.99,0.00,180.9100,150.9200,29.9900,AllPoints,paypal_express,2PY86316L3701033W
HnC010012187,2025-08-16 12:33:12,254.41,188.78,13.21,52.42,0.00,184.9300,159.9800,24.9500,Encompass,stripe_payments,pi_3RwjIHBQ61UuLJWK2Yo9TJqT
HnC010012186,2025-08-16 06:39:37,389.73,331.10,28.81,29.82,0.00,299.2500,274.2600,24.9900,Neuco,stripe_payments,pi_3Rwdm7BQ61UuLJWK2vL7bqAs
CEFE000002398,2025-08-16 06:09:46,68.92,27.92,0.00,41.00,0.00,37.6700,8.6800,28.9900,AllPoints,stripe_payments,pi_3RwdJDLbZ7P2XrWw1TK9OYZG
HnC010012185,2025-08-16 02:55:37,382.38,270.26,0.00,112.12,0.00,273.1200,237.0700,36.0500,Neuco,paypal_express,27K90141YA1948432
CEFE000002397,2025-08-15 23:38:04,453.68,434.40,0.00,41.00,-21.72,221.8400,192.8500,28.9900,AllPoints,stripe_payments,pi_3RwXCALbZ7P2XrWw0uTP7NQ9
HnC010012183,2025-08-15 23:31:55,156.95,93.77,5.95,57.23,0.00,107.3000,74.7000,32.6000,Neuco,stripe_payments,pi_3RwX6CBQ61UuLJWK0P5ZNLgy
HnC010012182,2025-08-15 22:55:10,449.11,397.85,23.87,27.39,0.00,359.9400,348.9900,10.9500,Encompass,stripe_payments,pi_3RwWVtBQ61UuLJWK1fO4BNBE
HnC010012181,2025-08-15 22:20:06,96.20,12.64,0.88,82.68,0.00,30.7400,5.9200,24.8200,Neuco,stripe_payments,pi_3RwVyhBQ61UuLJWK2Xr8anfr
HnC010012180,2025-08-15 21:41:19,1338.12,1261.64,0.00,76.48,0.00,1137.4100,1126.4600,10.9500,Encompass,paypal_express,58N24516WA8545408
HnC010012179,2025-08-15 21:07:23,80.87,50.82,3.43,26.62,0.00,62.4800,36.3000,26.1800,Neuco,paypal_express,12E08242LT628215N
